App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Installs_num,Price_num,Size_MB,Primary_Genre
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2M,"100,000+",Free,0,Everyone,Art & Design;Creativity,2018-04-15,1.46,4.1 and up,100000.0,0.0,1.2,Art & Design
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12M,"10,000+",Free,0,Everyone,Art & Design,2018-01-03,1.0.0,4.1 and up,10000.0,0.0,12.0,Art & Design
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24M,"10,000,000+",Free,0,Everyone,Art & Design,2018-07-31,1.6.1,4.1 and up,10000000.0,0.0,24.0,Art & Design
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26M,"100,000+",Free,0,Everyone,Art & Design,2017-11-14,1.6,4.1 and up,100000.0,0.0,26.0,Art & Design
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0M,"100,000+",Free,0,Everyone,Art & Design,2017-12-17,2.0.0,4.1 and up,100000.0,0.0,8.0,Art & Design
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9M,"100,000+",Free,0,Everyone,Art & Design,2018-05-28,1.0,2.3 and up,100000.0,0.0,7.9,Art & Design
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-05-10,1.0,4.0.3 and up,100000.0,0.0,25.0,Auto & Vehicles
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-26,11.0,4.1 and up,1000000.0,0.0,56.0,Auto & Vehicles
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,100000.0,0.0,57.0,Auto & Vehicles
Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device,1000000.0,0.0,,Auto & Vehicles
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,100000.0,0.0,35.0,Auto & Vehicles
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-31,4.0,4.1 and up,100000.0,0.0,33.0,Auto & Vehicles
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-18,1.7.1,4.0 and up,100000.0,0.0,33.0,Auto & Vehicles
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6M,"50,000+",Free,0,Everyone,Auto & Vehicles,2018-07-29,2.5.1,4.4 and up,50000.0,0.0,5.6,Auto & Vehicles
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-26,3.0,4.1 and up,100000.0,0.0,54.0,Auto & Vehicles
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201k,"100,000+",Free,0,Everyone,Auto & Vehicles,2014-08-26,1.0.1,2.2 and up,100000.0,0.0,0.1962890625,Auto & Vehicles
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-30,2.493,4.4 and up,100000.0,0.0,3.6,Auto & Vehicles
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000+",Free,0,Everyone,Auto & Vehicles,2018-07-08,1.9.1,4.0.3 and up,10000.0,0.0,5.7,Auto & Vehicles
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,100000.0,0.0,17.0,Auto & Vehicles
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-28,2.20 Build 02,4.1 and up,1000000.0,0.0,8.6,Auto & Vehicles
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-06-12,1.37,4.0 and up,100000.0,0.0,2.4,Auto & Vehicles
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-03,1.7,4.2 and up,100000.0,0.0,27.0,Auto & Vehicles
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7M,"10,000+",Free,0,Everyone,Auto & Vehicles,2018-07-30,0.2.1,4.4 and up,10000.0,0.0,2.7,Auto & Vehicles
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5M,"50,000+",Free,0,Everyone,Auto & Vehicles,2016-10-14,1.0,2.3 and up,50000.0,0.0,2.5,Auto & Vehicles
Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211,Varies with device,"5,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device,5000000.0,0.0,,Auto & Vehicles
REPUVE,AUTO_AND_VEHICLES,3.9,356,Varies with device,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-05-25,Varies with device,Varies with device,100000.0,0.0,,Auto & Vehicles
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0M,"5,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-16,4.47.3,4.0.3 and up,5000000.0,0.0,7.0,Auto & Vehicles
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35M,"5,000,000+",Free,0,Everyone,Auto & Vehicles,2018-08-02,1.9.7,4.0.3 and up,5000000.0,0.0,35.0,Auto & Vehicles
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16M,"500,000+",Free,0,Everyone,Auto & Vehicles,2018-08-02,2.2.21,4.2 and up,500000.0,0.0,16.0,Auto & Vehicles
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16M,"10,000,000+",Free,0,Teen,Auto & Vehicles,2018-07-11,Varies with device,5.0 and up,10000000.0,0.0,16.0,Auto & Vehicles
PDD-UA,AUTO_AND_VEHICLES,4.8,736,Varies with device,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-29,2.9,2.3.3 and up,100000.0,0.0,,Auto & Vehicles
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17M,"500,000+",Free,0,Everyone,Auto & Vehicles,2018-07-27,1.79,4.0 and up,500000.0,0.0,17.0,Auto & Vehicles
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4M,"50,000+",Free,0,Everyone,Auto & Vehicles,2018-06-14,1.3,4.0 and up,50000.0,0.0,3.4,Auto & Vehicles
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-06-08,2.3.5.1,4.1 and up,100000.0,0.0,8.9,Auto & Vehicles
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9M,"1,000,000+",Free,0,Everyone 10+,Auto & Vehicles,2018-07-04,1.6,4.0 and up,1000000.0,0.0,3.9,Auto & Vehicles
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-03-27,1.6,4.1 and up,100000.0,0.0,2.9,Auto & Vehicles
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-15,8.31,4.1 and up,1000000.0,0.0,38.0,Auto & Vehicles
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32M,"50,000+",Free,0,Everyone,Auto & Vehicles,2018-07-24,1.1.5.0,6.0 and up,50000.0,0.0,32.0,Auto & Vehicles
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-27,10.0.2,4.2 and up,1000000.0,0.0,37.0,Auto & Vehicles
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15M,"500,000+",Free,0,Everyone,Auto & Vehicles,2018-07-30,1.10.3,5.0 and up,500000.0,0.0,15.0,Auto & Vehicles
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-23,1.0,4.0.3 and up,100000.0,0.0,5.4,Auto & Vehicles
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-23,3.20.1,4.4 and up,1000000.0,0.0,18.0,Auto & Vehicles
CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-08-04,Varies with device,Varies with device,1000000.0,0.0,,Auto & Vehicles
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-07-29,1.0.3,2.3 and up,100000.0,0.0,38.0,Auto & Vehicles
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-04-27,1.4,4.0.3 and up,100000.0,0.0,1.1,Auto & Vehicles
AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-08-03,Varies with device,Varies with device,1000000.0,0.0,,Auto & Vehicles
Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880,Varies with device,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-05-10,4.6.5,Varies with device,100000.0,0.0,,Auto & Vehicles
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-05-16,2.8.2,4.1 and up,100000.0,0.0,7.9,Auto & Vehicles
SKencar,AUTO_AND_VEHICLES,3.7,4806,35M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-31,4.0.3,4.0.3 and up,1000000.0,0.0,35.0,Auto & Vehicles
Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786,Varies with device,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-08-02,Varies with device,4.0.3 and up,1000000.0,0.0,,Auto & Vehicles
auto fines,AUTO_AND_VEHICLES,4.6,31433,17M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-08-02,1.40,4.0.3 and up,1000000.0,0.0,17.0,Auto & Vehicles
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19M,"1,000,000+",Free,0,Everyone,Auto & Vehicles,2018-07-23,1.5.18,4.0.3 and up,1000000.0,0.0,19.0,Auto & Vehicles
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14M,"500,000+",Free,0,Everyone,Auto & Vehicles,2018-06-02,2.3.4,4.0 and up,500000.0,0.0,14.0,Auto & Vehicles
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2M,"500,000+",Free,0,Everyone,Auto & Vehicles,2018-03-20,1.03,4.0.3 and up,500000.0,0.0,2.2,Auto & Vehicles
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5M,"100,000+",Free,0,Everyone,Auto & Vehicles,2018-04-21,2.17,4.0 and up,100000.0,0.0,4.5,Auto & Vehicles
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17M,"500,000+",Free,0,Everyone,Beauty,2018-08-02,6.10.1,5.0 and up,500000.0,0.0,17.0,Beauty
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14M,"1,000,000+",Free,0,Everyone,Beauty,2017-11-09,2.3.0,4.1 and up,1000000.0,0.0,14.0,Beauty
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8M,"100,000+",Free,0,Everyone,Beauty,2018-05-15,4.0,4.1 and up,100000.0,0.0,9.8,Beauty
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",Free,0,Everyone,Beauty,2018-07-12,1.0.6,4.0.3 and up,500000.0,0.0,21.0,Beauty
Mirror - Zoom & Exposure -,BEAUTY,3.9,32090,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,2016-10-24,Varies with device,Varies with device,1000000.0,0.0,,Beauty
Beauty Selfie Camera,BEAUTY,4.2,2225,52M,"500,000+",Free,0,Everyone,Beauty,2018-02-28,1.6,4.1 and up,500000.0,0.0,52.0,Beauty
Hairstyles step by step,BEAUTY,4.6,4369,14M,"100,000+",Free,0,Everyone,Beauty,2018-07-25,1.9,4.0.3 and up,100000.0,0.0,14.0,Beauty
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,2018-05-10,1.1.0,4.0 and up,1000000.0,0.0,25.0,Beauty
Tie - Always be happy,BEAUTY,4.7,964,9.0M,"50,000+",Free,0,Everyone,Beauty,2018-06-21,4.0,4.2 and up,50000.0,0.0,9.0,Beauty
Ulta Beauty,BEAUTY,4.7,42050,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,2018-06-05,5.4,5.0 and up,1000000.0,0.0,,Beauty
Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000+",Free,0,Everyone,Beauty,2018-06-26,1.3,4.0.3 and up,10000.0,0.0,12.0,Beauty
Selfie Camera,BEAUTY,4.2,17934,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,2017-09-12,Varies with device,Varies with device,1000000.0,0.0,,Beauty
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000+",Free,0,Everyone,Beauty,2018-06-02,2.0.0,4.0 and up,100000.0,0.0,35.0,Beauty
Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000+",Free,0,Everyone,Beauty,2018-07-26,6.0,4.0 and up,10000.0,0.0,6.7,Beauty
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.1,187,30M,"50,000+",Free,0,Teen,Beauty,2018-07-24,3.0.1,4.0.3 and up,50000.0,0.0,30.0,Beauty
Wrinkles and rejuvenation,BEAUTY,,182,5.7M,"100,000+",Free,0,Everyone 10+,Beauty,2017-09-20,8.0,3.0 and up,100000.0,0.0,5.7,Beauty
Eyes Makeup Beauty Tips,BEAUTY,4.2,30,2.9M,"10,000+",Free,0,Everyone,Beauty,2018-04-09,3.3.9,4.0.3 and up,10000.0,0.0,2.9,Beauty
Photo Editor 2018,BEAUTY,4.5,134,17M,"10,000+",Free,0,Everyone,Beauty,2018-03-01,1.20,4.0.3 and up,10000.0,0.0,17.0,Beauty
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9M,"10,000+",Free,0,Everyone,Beauty,2018-04-05,2.3.09,4.0.3 and up,10000.0,0.0,2.9,Beauty
Beauty Camera - Selfie Camera,BEAUTY,4.0,113715,Varies with device,"10,000,000+",Free,0,Everyone,Beauty,2017-08-03,Varies with device,Varies with device,10000000.0,0.0,,Beauty
Girls Hairstyles,BEAUTY,4.1,3595,Varies with device,"500,000+",Free,0,Everyone,Beauty,2018-05-24,Varies with device,4.0 and up,500000.0,0.0,,Beauty
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.1,9315,2.6M,"1,000,000+",Free,0,Everyone,Beauty,2017-11-21,1.4.2,4.0 and up,1000000.0,0.0,2.6,Beauty
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.4,75,4.2M,"50,000+",Free,0,Everyone,Beauty,2017-10-18,1.0.0,4.0.3 and up,50000.0,0.0,4.2,Beauty
Haircut Tutorials/Haircut Videos,BEAUTY,4.6,38,7.1M,"10,000+",Free,0,Everyone,Beauty,2018-05-29,1.0,4.0 and up,10000.0,0.0,7.1,Beauty
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57M,"1,000,000+",Free,0,Everyone,Beauty,2018-07-24,18.5,5.0 and up,1000000.0,0.0,57.0,Beauty
Manicure - nail design,BEAUTY,,119,3.7M,"50,000+",Free,0,Everyone,Beauty,2018-07-23,1.3,4.1 and up,50000.0,0.0,3.7,Beauty
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22M,"500,000+",Free,0,Everyone,Beauty,2018-07-12,1.1.0,4.0.3 and up,500000.0,0.0,22.0,Beauty
Filters for B Live,BEAUTY,4.4,2280,24M,"500,000+",Free,0,Everyone,Beauty,2018-05-14,1.1.0,4.0 and up,500000.0,0.0,24.0,Beauty
Skin Care and Natural Beauty,BEAUTY,,654,7.4M,"100,000+",Free,0,Teen,Beauty,2018-07-17,1.15,4.1 and up,100000.0,0.0,7.4,Beauty
Facial Wrinkle Reduction,BEAUTY,4.6,184,21M,"10,000+",Free,0,Everyone,Beauty,2018-07-02,1.5,4.1 and up,10000.0,0.0,21.0,Beauty
Makeup Videos,BEAUTY,3.8,9,3.4M,"5,000+",Free,0,Everyone,Beauty,2018-06-07,1.0,4.0 and up,5000.0,0.0,3.4,Beauty
"Secrets of beauty, youth and health",BEAUTY,,77,2.9M,"10,000+",Free,0,Mature 17+,Beauty,2017-08-08,2.0,2.3 and up,10000.0,0.0,2.9,Beauty
Recipes and tips for losing weight,BEAUTY,,35,3.1M,"10,000+",Free,0,Everyone 10+,Beauty,2017-12-11,2.0,3.0 and up,10000.0,0.0,3.1,Beauty
Discover Color,BEAUTY,4.0,364,6.4M,"100,000+",Free,0,Everyone,Beauty,2018-05-24,1.1,4.0.3 and up,100000.0,0.0,6.4,Beauty
Eyeliner step by step 2018,BEAUTY,4.3,18,3.2M,"5,000+",Free,0,Everyone,Beauty,2018-06-01,1.2.13,4.0.3 and up,5000.0,0.0,3.2,Beauty
Dresses Ideas & Fashions +3000,BEAUTY,4.5,473,8.2M,"100,000+",Free,0,Mature 17+,Beauty,2017-03-01,1.0.2.0,1.6 and up,100000.0,0.0,8.2,Beauty
"Lady adviser (beauty, health)",BEAUTY,,30,9.9M,"10,000+",Free,0,Mature 17+,Beauty,2018-01-24,3.0,3.0 and up,10000.0,0.0,9.9,Beauty
Step By Step Hairstyles For Women,BEAUTY,4.1,66,2.9M,"10,000+",Free,0,Everyone,Beauty,2018-04-05,3.1.89,4.0.3 and up,10000.0,0.0,2.9,Beauty
